i,j,x
320,39,1
321,17,1
321,20,1
323,1,1
323,7,1
323,20,1
324,38,1
325,7,1
325,8,1
325,20,3
325,62,1
326,24,1
326,64,1
328,1,1
329,1,1
329,18,1
329,19,1
329,24,1
330,17,1
330,19,1
331,17,1
331,23,1
332,33,1
332,34,1
333,20,1
333,26,1
333,27,1
334,22,1
334,32,1
336,20,1
336,32,1
338,60,1
339,57,1
340,1,1
340,60,1
341,16,1
341,35,1
342,12,1
342,14,1
342,21,1
343,17,1
343,26,1
345,20,2
346,1,1
346,17,1
346,18,1
347,1,1
347,17,1
347,23,1
347,33,1
348,1,1
348,18,1
349,20,1
350,16,1
353,19,2
353,20,1
354,17,1
356,1,1
356,15,1
356,20,1
357,23,1
358,19,1
359,16,1
361,6,1
361,15,1
361,64,1
362,20,1
362,40,1
364,22,1
364,32,1
365,6,1
365,10,1
367,8,1
367,17,1
369,22,1
369,43,1
371,17,1
371,19,1
371,20,1
372,23,1
373,1,1
373,6,1
375,1,1
375,21,1
375,23,1
376,33,1
377,29,1
378,1,1
378,17,1
378,18,1
379,15,1
380,33,2
380,35,1
381,20,1
382,7,1
382,46,1
382,63,1
385,20,1
385,51,1
385,64,1
386,17,1
388,20,1
388,51,1
389,8,1
389,23,1
389,39,1
390,19,1
392,6,1
392,26,1
393,6,1
393,10,1
394,23,1
395,9,1
396,6,1
396,10,1
398,20,1
398,33,1
399,53,1
400,61,1
401,17,1
405,61,1
406,17,1
408,20,1
409,20,1
410,19,1
410,41,1
411,20,2
411,39,1
412,7,1
414,61,1
415,19,1
416,6,1
416,10,1
417,1,1
417,20,1
417,47,1
417,57,1
418,17,1
418,58,1
419,6,1
419,22,1
419,26,2
419,52,1
420,17,1
421,6,1
421,18,1
421,19,1
421,20,1
421,33,1
421,46,1
421,63,1
423,8,1
423,14,1
423,23,1
424,19,1
424,62,1
425,1,1
425,2,1
425,18,1
425,20,1
425,35,1
425,39,1
427,17,1
430,23,1
431,23,1
432,27,1
432,35,1
433,20,1
434,20,2
434,51,1
434,64,1
436,7,1
436,8,1
436,20,3
437,20,1
437,33,2
438,17,1
438,20,1
439,19,1
439,20,1
439,23,1
440,1,1
440,19,1
440,20,1
440,39,1
441,20,1
441,24,1
442,1,2
442,20,1
442,26,1
443,8,1
444,18,1
445,7,1
445,8,1
445,20,3
446,19,1
447,19,1
447,22,1
447,24,1
447,26,1
448,2,1
448,19,1
448,20,3
449,7,1
449,22,2
450,7,1
450,10,1
451,20,1
451,33,1
452,20,1
452,23,1
452,31,1
452,38,1
453,47,1
453,52,1
453,57,1
453,61,1
454,14,1
454,33,1
456,19,1
456,20,1
457,19,1
458,19,1
459,20,1
460,17,1
460,23,1
461,26,1
462,26,1
462,60,1
464,20,1
464,24,1
465,20,1
465,23,1
466,16,1
467,19,1
468,17,1
469,1,1
469,2,2
469,3,1
469,19,1
469,20,2
469,64,1
470,22,1
470,32,1
471,20,2
473,24,1
473,64,1
476,17,1
476,26,1
477,6,1
477,10,1
480,23,1
481,16,1
481,20,1
481,23,2
481,51,1
483,1,1
483,20,1
484,20,1
484,46,1
484,63,1
485,7,1
486,6,1
486,17,1
487,6,1
487,10,1
490,17,1
490,60,1
491,1,1
491,7,1
491,8,1
491,21,1
492,16,1
493,17,1
493,19,1
493,20,1
494,14,1
494,35,1
497,64,1
498,40,1
498,58,1
499,24,1
499,26,1
499,59,1
500,19,1
500,52,1
501,1,1
501,43,1
501,57,1
502,16,1
503,9,1
504,16,1
505,1,1
505,7,1
505,18,1
505,62,1
506,16,1
507,20,1
507,43,1
508,21,1
509,10,1
509,52,1
510,6,1
510,10,1
511,19,1
511,26,1
512,18,1
513,12,1
513,14,1
513,21,1
515,20,1
516,1,1
516,8,1
517,15,1
517,16,1
517,23,1
517,26,1
519,20,1
519,22,1
519,32,1
519,53,1
520,43,1
521,21,1
521,33,1
523,20,1
523,33,1
524,15,1
524,20,1
525,4,1
525,19,2
525,20,1
525,24,1
525,39,1
526,20,1
526,24,1
526,26,1
527,1,1
527,21,9
527,33,1
528,1,1
528,23,1
529,33,1
529,34,1
530,20,1
530,23,1
530,38,1
531,6,1
531,10,1
532,18,1
532,20,1
532,31,1
532,38,1
533,32,1
534,6,1
534,10,1
535,20,1
537,15,1
538,16,1
538,23,1
538,54,1
539,43,1
539,57,1
540,6,1
540,24,1
541,1,1
541,20,2
542,24,1
543,6,1
543,10,1
546,20,1
547,28,1
547,57,1
548,20,1
548,23,1
549,20,1
549,35,1
551,19,1
553,19,1
553,20,1
553,37,1
555,20,1
555,22,1
557,6,1
557,17,1
557,29,1
558,20,1
559,1,1
559,17,1
560,13,1
560,14,1
560,23,1
561,52,1
562,43,1
563,21,1
564,19,1
565,23,1
565,46,1
565,63,1
566,17,1
567,23,1
567,31,1
568,20,2
568,43,1
568,57,1
569,19,1
570,6,1
570,10,1
571,15,1
571,20,1
572,9,1
572,37,1
573,17,1
574,20,1
574,35,1
575,19,1
575,20,1
575,23,1
576,19,1
576,20,1
577,14,1
578,19,1
579,1,1
580,8,1
580,20,1
581,19,2
581,22,1
581,41,1
582,17,1
583,64,1
584,35,1
585,23,1
586,22,1
586,32,1
588,17,1
588,20,1
588,23,1
588,41,1
589,7,1
590,19,1
590,20,1
590,52,1
591,33,1
591,51,1
592,23,1
594,24,1
595,18,1
595,19,1
595,52,1
597,20,1
597,23,1
598,12,1
598,16,1
598,20,1
599,39,1
599,43,1
600,1,1
600,54,1
602,1,1
602,20,1
602,21,9
602,23,1
602,33,1
604,22,1
604,32,1
605,15,1
605,20,1
605,32,1
607,57,1
609,18,1
609,20,1
609,24,1
610,16,1
611,39,1
611,47,1
612,26,1
614,8,1
614,23,1
614,58,2
615,26,1
616,26,1
616,51,1
617,6,1
618,20,1
619,53,1
620,19,1
620,20,1
621,19,1
622,1,1
623,16,1
625,1,1
625,18,1
625,19,1
625,23,1
625,52,1
626,20,1
627,20,1
627,23,1
627,60,1
628,1,1
629,8,1
631,7,1
631,8,1
631,20,2
631,23,1
631,62,1
635,6,1
635,24,1
636,40,1
637,20,1
638,20,1
639,20,1
641,1,1
641,18,1
641,19,1
641,23,1
641,31,1
642,8,1
644,26,1
645,23,1
646,7,1
646,8,1
646,20,4
646,62,1
647,7,1
647,20,1
648,20,1
648,23,1
648,40,1
649,6,1
649,52,1
650,20,1
650,23,1
650,27,1
651,20,1
653,1,1
653,20,1
653,47,1
653,57,1
654,1,1
654,18,1
654,26,1
654,33,1
655,1,1
655,17,1
655,20,1
656,20,1
657,6,1
657,10,1
658,6,1
658,10,1
659,1,1
659,19,1
660,15,1
660,20,1
660,43,1
661,15,1
661,32,1
661,59,1
662,1,1
662,20,1
662,21,1
662,23,1
664,24,1
664,26,1
664,59,1
665,22,1
665,32,1
666,33,1
666,46,1
666,63,1
667,18,1
667,20,1
668,19,2
668,21,1
669,20,1
670,1,1
670,18,1
671,24,1
671,64,1
672,7,1
672,8,1
672,20,2
672,62,1
673,7,1
673,29,1
674,20,1
674,51,1
675,64,1
676,20,2
676,33,2
677,7,1
678,35,1
679,17,1
679,44,1
680,20,1
680,26,1
683,20,1
685,7,1
686,18,1
686,20,1
686,38,1
687,1,1
687,18,1
687,20,1
688,20,1
688,57,1
689,18,1
689,20,1
690,27,1
690,42,1
691,24,1
692,6,1
693,1,1
694,17,1
694,64,1
697,6,1
697,18,1
697,19,1
697,33,1
697,46,1
697,63,1
698,46,1
698,63,1
702,24,1
703,20,1
704,43,1
705,7,1
706,7,1
707,6,1
707,17,1
707,22,1
708,19,1
708,20,2
709,1,1
709,19,1
709,20,2
709,65,1
710,19,1
711,20,1
711,26,1
711,60,1
712,9,1
712,11,1
712,20,1
713,23,1
713,26,1
715,6,1
715,19,2
715,24,1
716,33,1
716,46,1
716,63,1
717,59,1
718,23,1
719,20,1
720,23,2
721,6,1
723,64,1
725,1,1
725,20,1
725,26,1
725,46,1
725,63,1
726,7,1
726,17,1
726,19,1
726,20,1
727,19,1
729,43,1
730,7,1
731,1,1
731,15,1
733,6,1
733,10,1
734,35,1
735,33,1
736,9,1
737,21,1
737,33,1
738,6,1
738,10,1
739,20,1
740,20,1
741,38,1
742,1,1
744,20,1
744,60,1
745,19,1
745,22,1
745,23,1
746,19,1
747,1,1
