i,j,x
130,2,1
130,9,2
130,30,1
130,37,1
131,1,1
131,2,1
131,37,1
132,1,1
132,2,1
132,11,1
132,12,1
132,37,1
133,1,2
133,2,2
133,8,1
133,26,1
133,27,1
133,37,2
134,1,1
134,2,1
134,9,1
134,17,1
134,37,1
135,2,1
135,37,1
135,41,1
136,1,1
136,2,1
136,9,1
136,37,1
137,1,2
137,2,2
137,11,1
137,12,1
137,37,2
138,1,2
138,2,2
138,11,2
138,12,2
138,37,2
139,1,1
139,2,1
139,11,1
139,12,1
139,27,1
139,37,1
140,1,1
140,2,1
140,10,1
140,11,1
140,37,1
141,1,1
141,2,2
141,12,1
141,35,1
141,37,2
142,1,1
142,2,1
142,11,1
142,12,1
142,37,1
143,1,1
143,2,1
143,37,1
144,1,1
144,2,1
144,12,1
144,37,1
145,1,1
145,2,1
145,37,1
146,1,1
146,2,2
146,12,1
146,37,2
147,1,1
147,2,1
147,9,1
147,11,1
147,12,1
147,25,1
147,37,1
148,1,1
148,2,1
148,9,1
148,12,1
148,37,1
149,1,1
149,2,1
149,11,1
149,12,1
149,37,1
150,2,1
150,26,1
150,37,1
151,1,1
151,2,1
151,4,1
151,37,1
152,1,1
152,2,1
152,37,1
153,1,1
153,2,1
153,37,1
154,2,1
154,9,1
154,11,1
154,12,1
154,25,1
154,37,1
155,1,1
155,2,1
155,11,1
155,12,1
155,37,1
157,1,1
157,2,1
157,37,1
158,2,1
158,37,1
158,41,1
159,1,1
159,2,1
159,37,1
160,1,1
160,2,1
160,11,1
160,12,1
160,37,1
161,1,1
161,2,1
161,9,1
161,11,1
161,12,2
161,37,1
162,1,1
162,2,1
162,9,1
162,37,1
163,1,1
163,2,1
163,11,1
163,12,1
163,37,1
164,1,1
164,2,2
164,37,2
165,1,1
165,2,1
165,37,1
166,1,1
166,2,1
166,11,1
166,37,1
167,1,1
167,2,1
167,37,1
168,1,1
168,2,1
168,11,1
168,12,1
168,22,1
168,37,1
169,1,1
169,2,1
169,9,1
169,11,1
169,37,1
170,1,1
170,2,1
170,11,1
170,12,2
170,37,1
171,1,1
171,2,1
171,11,1
171,12,1
171,37,1
172,1,1
172,2,1
172,37,1
173,2,1
173,30,1
173,37,1
174,1,1
174,2,1
174,37,1
175,2,2
175,11,1
175,12,1
175,26,1
175,37,2
176,1,1
176,2,1
176,11,1
176,12,1
176,37,1
177,1,1
177,2,1
177,37,1
178,2,1
178,11,1
178,37,1
179,1,1
179,2,1
179,37,1
180,1,1
180,2,1
180,11,1
180,12,1
180,37,1
181,11,1
181,12,1
182,1,1
182,2,1
182,12,1
182,37,1
183,1,1
183,2,1
183,37,1
184,1,2
184,2,2
184,11,1
184,12,1
184,37,2
185,1,1
185,2,1
185,11,1
185,12,1
185,22,1
185,25,1
185,37,1
186,1,1
186,2,1
186,11,1
186,12,1
186,37,1
187,1,1
187,2,1
187,11,1
187,12,1
187,37,1
188,1,1
188,2,1
188,37,1
189,1,2
189,2,1
189,25,1
189,37,1
190,1,1
190,2,1
190,9,1
190,25,1
190,37,1
191,2,1
191,37,1
192,1,1
192,2,1
192,11,1
192,12,1
192,37,1
193,2,1
193,7,1
193,20,1
193,37,1
193,42,1
194,1,2
194,2,2
194,11,2
194,12,2
194,37,2
195,1,1
195,2,1
195,12,1
195,25,1
195,37,1
196,1,1
196,2,1
196,29,1
196,37,1
197,1,1
197,2,1
197,37,1
198,2,2
198,11,1
198,12,1
198,17,1
198,37,2
199,1,1
199,2,1
199,11,1
199,12,1
199,37,1
200,2,2
200,12,1
200,37,2
201,1,1
201,2,1
201,12,1
201,37,1
202,2,1
202,11,1
202,12,1
202,37,1
203,1,1
203,2,1
203,37,1
204,1,1
204,2,1
204,37,1
205,1,1
205,2,1
205,37,1
206,1,1
206,2,1
206,9,1
206,37,1
207,2,1
207,11,2
207,37,1
208,1,1
208,2,1
208,12,1
208,37,1
209,1,1
209,2,1
209,29,2
209,37,1
210,2,1
210,11,1
210,12,1
210,37,1
211,1,1
211,2,1
211,11,1
211,37,1
212,1,1
212,2,1
212,37,1
213,1,1
213,2,1
213,11,1
213,12,1
213,26,1
213,37,1
214,1,1
214,2,1
214,11,1
214,12,1
214,37,1
215,2,2
215,11,1
215,12,1
215,16,1
215,37,2
216,1,1
216,2,1
216,37,1
216,41,1
217,1,1
217,2,1
217,11,1
217,37,1
218,1,1
218,2,1
218,8,1
218,37,1
219,1,1
219,2,1
219,11,1
219,37,1
220,1,1
220,2,1
220,9,1
220,37,1
221,1,2
221,2,1
221,32,1
221,37,1
222,2,1
222,25,1
222,37,1
223,1,2
223,2,2
223,37,2
224,1,2
224,2,2
224,8,1
224,9,1
224,11,1
224,12,1
224,26,1
224,37,2
225,1,1
225,2,1
225,9,1
225,37,1
226,1,1
226,2,1
226,37,1
227,1,2
227,2,2
227,37,2
228,1,3
228,2,2
228,37,2
229,1,2
229,2,1
229,11,1
229,12,1
229,37,1
230,1,2
230,2,1
230,11,2
230,12,2
230,37,1
231,1,1
231,2,1
231,37,1
232,1,1
232,2,1
232,11,1
232,12,1
232,26,1
232,37,1
233,1,1
233,2,2
233,9,1
233,37,2
234,1,1
234,2,1
234,37,1
235,1,1
235,2,1
235,11,1
235,37,1
236,1,1
236,2,2
236,3,1
236,8,1
236,11,1
236,12,1
236,26,1
236,27,1
236,37,2
237,2,1
237,30,1
237,37,1
238,1,1
238,2,1
238,37,1
239,1,1
239,2,1
239,11,1
239,12,1
239,29,1
239,37,1
239,39,1
240,2,1
240,37,1
241,1,1
241,2,1
241,12,1
241,37,1
242,2,1
242,27,1
242,37,1
243,1,1
243,2,1
243,11,1
243,12,1
243,37,1
244,1,1
244,2,1
244,9,2
244,11,1
244,12,1
244,37,1
245,12,1
246,1,1
246,2,1
246,37,1
247,1,1
247,2,1
247,11,1
247,12,2
247,37,1
248,1,1
248,2,2
248,37,2
249,1,1
249,2,1
249,37,2
249,38,1
250,1,1
250,2,1
250,11,1
250,12,1
250,37,1
251,1,1
251,2,1
251,11,1
251,12,1
251,26,1
251,37,1
252,1,1
252,2,1
252,11,1
252,12,1
252,37,1
253,2,1
253,37,1
254,1,1
254,2,1
254,37,1
255,1,2
255,2,2
255,37,2
256,1,1
256,2,1
256,11,1
256,12,1
256,37,1
257,2,1
257,37,1
258,1,1
258,2,2
258,37,2
259,1,1
259,2,1
259,11,1
259,12,1
259,29,1
259,37,1
260,1,1
260,2,1
260,37,1
260,39,2
261,1,1
261,2,3
261,25,1
261,37,3
262,1,1
262,2,1
262,11,1
262,37,1
263,1,2
263,2,1
263,11,1
263,12,1
263,31,1
263,32,1
263,37,1
264,2,1
264,37,1
265,1,1
265,2,1
265,11,1
265,12,1
265,37,1
266,1,1
266,2,1
266,26,1
266,37,1
267,1,1
267,2,1
267,37,1
268,1,1
268,2,1
268,11,1
268,12,1
268,37,1
269,1,1
269,2,1
269,12,1
269,37,1
269,41,1
270,1,1
270,2,1
270,37,1
271,1,1
271,2,1
271,37,1
272,1,1
272,2,1
272,37,1
273,1,1
273,2,1
273,30,1
273,37,1
273,39,1
274,1,1
274,2,1
274,31,1
274,32,1
274,37,1
275,2,1
275,12,2
275,14,1
275,37,1
276,1,1
276,2,1
276,11,1
276,37,1
277,1,1
277,2,1
277,11,1
277,12,1
277,37,1
278,1,1
278,2,1
278,11,1
278,12,2
278,17,1
278,37,1
279,1,1
279,2,1
279,9,1
279,37,1
280,1,1
280,2,1
280,11,1
280,12,1
280,26,1
280,37,1
281,1,1
281,2,1
281,37,1
282,1,6
282,2,3
282,11,1
282,25,3
282,37,3
283,1,1
283,2,1
283,9,1
283,37,1
284,1,1
284,2,1
284,12,1
284,30,1
284,37,1
285,2,1
285,16,1
285,37,1
285,39,1
286,1,2
286,2,4
286,11,1
286,12,1
286,37,4
287,1,1
287,2,1
287,11,1
287,12,1
287,37,1
288,1,1
288,2,1
288,4,1
288,9,2
288,25,1
288,26,1
288,37,1
289,1,1
289,2,1
289,9,1
289,11,1
289,12,1
289,29,1
289,37,1
289,39,1
290,1,1
