i,j,x
297,20,1
298,26,1
300,7,1
300,8,1
300,20,3
300,62,1
301,19,1
302,2,1
302,20,1
303,20,1
303,26,1
303,60,1
304,1,1
304,19,1
304,20,1
304,39,1
305,6,1
305,10,1
306,20,1
307,19,1
307,20,1
307,35,1
308,8,1
308,51,1
309,8,1
309,20,1
309,46,1
309,58,1
309,63,1
310,1,1
311,20,2
311,26,2
312,39,1
313,1,1
313,18,1
313,20,2
313,52,1
314,24,1
315,6,1
315,17,1
315,43,1
316,20,1
316,25,1
317,20,2
317,26,2
317,31,1
317,43,1
319,4,1
319,35,1
320,17,1
320,40,1
320,41,1
321,20,2
321,27,1
322,15,1
324,7,1
324,8,1
324,20,3
324,62,1
325,1,1
325,17,1
325,19,1
325,46,1
325,60,1
325,63,1
326,6,1
326,10,1
327,31,1
328,17,1
329,20,1
329,46,1
329,63,1
330,17,1
330,20,1
330,39,1
331,35,1
332,20,2
333,1,1
333,8,1
333,14,1
333,28,1
334,1,1
335,6,1
336,23,1
336,39,1
337,21,1
337,33,1
337,46,1
337,63,1
338,6,1
338,10,1
339,1,1
339,7,1
339,18,1
339,62,1
340,24,1
340,37,1
341,20,1
342,16,1
343,27,1
343,35,1
347,19,1
348,35,1
349,20,1
349,27,1
349,33,1
349,54,1
350,20,1
351,19,1
351,20,1
351,45,1
352,7,1
352,22,2
353,7,3
356,19,1
357,7,1
357,18,1
357,20,1
357,47,1
357,57,1
358,1,1
358,22,1
359,20,1
359,23,1
359,31,1
359,38,1
360,1,1
360,7,1
360,20,1
360,29,1
361,1,1
362,20,1
363,1,2
363,18,1
363,19,1
363,20,1
364,17,1
364,64,1
365,23,1
365,39,1
366,6,1
366,10,1
367,20,1
368,43,1
368,57,1
370,19,2
371,15,1
371,26,1
372,29,1
373,52,1
375,64,1
376,22,1
376,32,1
377,17,1
378,12,1
378,14,1
379,9,1
379,11,1
379,57,1
381,17,1
381,19,1
381,20,1
382,14,1
382,20,1
382,26,1
383,19,1
383,24,1
384,1,1
384,18,1
384,20,1
385,19,2
386,15,1
387,20,1
388,22,1
388,32,1
389,38,1
390,19,1
390,20,2
391,1,2
391,18,1
391,39,1
392,1,1
392,16,1
392,17,1
392,18,1
392,19,1
392,20,1
392,52,1
393,20,1
393,52,1
394,17,1
395,1,1
396,6,1
396,10,1
399,16,1
400,8,1
400,26,1
401,20,1
401,46,1
401,63,1
402,19,1
403,20,1
404,4,1
404,19,1
404,26,1
404,61,1
